Visit ID,Visit Date,Patient ID,Diagnosis Category,Diagnosis Sub Category,Treatment Category,Treatment Sub Category,New Patient,Consulting Physician,Patient Name,Patient Gender,Patient Age Range,Patient Blood Type,Patient Insurance Number,Patient Phone,Patient Address,Patient Occupation,Patient Emergency Contact
VXN707246,2018-01-14,PLZ183511,Central Nervous System/ Neuromuscular,Headache/Migraine,Pharmacy/Prescription Drugs,Non-FDA Approved Use,False,Dr. Shelly Hunt,Megan Ross,Female,51-64,B-,Private,017010691911,"Mira-Gnatz-Ring 6/3
06262 Neuss",Retail banker,"Michael Chavez, 016239037353."
VPV631072,2018-01-14,PLI245582,Autism Spectrum,,Home Health Care,Skilled Nursing Visits,False,Dr. Alexandria Gaines,Phillip Nguyen,Male,0-10,O-,Q491389861,017118925355,"Ira-Becker-Weg 56
28183 Hannover",Oncologist,"Eric Franco, 016984130558."
VRC428636,2018-01-14,PMT144976,Endocrine/ Metabolic,Diabetes,Diagnostic/Physician Evaluation,Specialty Consultation Referral,False,Dr. Michelle Lamb,Jesse Stokes,Female,41-50,B-,E444115176,017940682779,"René-Weitzel-Ring 7
99063 Pasewalk",Armed forces technical officer,"Jonathan Welch, 016904574798."
VPB436564,2018-01-14,PAP128353,Central Nervous System/ Neuromuscular,Parkinson Disease,"Diagnostic Imaging, Screening and Testing",PET Scan,False,Dr. Jerry Daniels,Anthony Elliott,Female,41-50,A-,Y477008603,017023220469,"Anastasia-Dobes-Platz 826
03476 Bischofswerda","Pharmacist, community","Charles Simon, 016976901672."
VME079964,2018-01-14,PUN735066,Trauma/Injuries,Auto Accident,Rehabilitation Services - Skilled Nursing Facility - Inpatient,Inpatient Early Discharge,False,Dr. Jerry Daniels,Michael Ford,Male,51-64,A+,U520054704,016760439433,"Ayse-Stolze-Platz 5/2
13467 Eisenberg","Designer, ceramics/pottery","Dustin Davis, 015704799358."
VNJ187453,2018-01-14,PAY117144,Digestive System/ Gastrointestinal,Hiatal Hernia,"Diagnostic Imaging, Screening and Testing",CT Scan,False,Dr. Michelle Lamb,Robin Craig,Male,31-40,A+,Private,015088675790,"Reinhardtgasse 360
05030 Pegnitz",Rural practice surveyor,"Jeremy Martinez, 016022015914."
VVJ288014,2018-01-14,PRO768048,Mental,Alcohol Abuse/ Addiction,Mental Health Treatment,Alcohol Rehabilitation Program,False,Dr. Shelly Hunt,Brian Ward,Female,41-50,AB+,R338694956,016638769612,"Scheibeweg 4/6
32730 Kassel","Designer, ceramics/pottery","Betty Edwards, 017215493316."
VCF412361,2018-01-14,PWA737148,Orthopedic/ Musculoskeletal,Vertebral Disc Problem,Orthopedic,,False,Dr. Alexandria Gaines,Jeffery Nichols,Female,41-50,O-,Private,015676389003,"Sigrun-Zahn-Gasse 48
98691 Burglengenfeld","Surveyor, mining","Brandi Hardy, 016456916529."
VQH915563,2018-01-14,PHO267889,Infectious,Back Pain,Pain Management,Pain Management Program,False,Dr. Eddie Young,Jose Adams,Other,0-10,AB-,N782184413,015918080648,"Seifertring 6
40335 Germersheim",Make,"Grant Washington, 017640890541."
VTW054014,2018-01-14,PCQ523305,Skin,Rash,Reconstructive/Plastic Surgery,Panniculectomy,False,Dr. Eddie Young,Alexander Ho,Male,31-40,A-,C371750779,017516923987,"Daria-Hofmann-Ring 140
15978 Sonneberg","Development worker, international aid","Richard Jackson, 015276520385."
VBF614174,2018-01-14,PFT320978,Genitourinary/ Kidney,Polycystic Kidney Disease,Special Procedure,Organ Transplant,False,Dr. James Barber,Robert Mcdonald,Female,41-50,O+,N340697409,015668889326,"Herrmannallee 4/1
32573 Flöha","Teacher, English as a foreign language","Rose Quinn, 015858795201."
VAG054044,2018-01-14,PZT951227,OB-Gyn/ Pregnancy,Dysmenorrhea,OB/GYN Procedures,Hysterectomy,False,Dr. James Barber,Brandon Cabrera,Other,0-10,A-,F433828090,017271492705,"Meike-Scholtz-Gasse 223
96181 Wernigerode","Nurse, children's","Austin Cook, 015591483297."
VTW298020,2018-01-14,PKM005477,Orthopedic/ Musculoskeletal,Joint Problem,Pharmacy/Prescription Drugs,Formulary versus Non-Formulary,False,Dr. Eddie Young,Aaron Carlson,Other,0-10,B-,J175353237,016398971641,"Pius-Lindner-Allee 64
16172 Potsdam","Designer, industrial/product","Joshua Williamson, 015178650530."
VDU221398,2018-01-14,PGR712108,Mental,Autism,Acute Medical Services - Outpatient,Speech Therapy,True,Dr. James Barber,Zachary Marks,Male,0-10,O-,X293802258,015576367956,"Neureutherring 1
82686 Germersheim",Jewellery designer,"Hector Fleming, 017891534674."
VEP676993,2018-01-14,PEQ998241,Digestive System/ Gastrointestinal,Crohn's Disease,"Diagnostic Imaging, Screening and Testing",Lab Work,False,Dr. Shelly Hunt,Jillian Neal,Male,21-30,AB-,L293137133,016303825804,"Süßebierstr. 6/4
66136 Pegnitz",TEFL teacher,"Steven Avila, 017894259442."
VJO173193,2018-01-15,PSK607618,Morbid Obesity,Hypertension,General Surgery,,False,Dr. Alexandria Gaines,Ashley Pratt,Female,51-64,O+,F661939712,015092440181,"Bianca-Schomber-Allee 9
21694 Kusel","Designer, ceramics/pottery","Keith Robbins, 016867141932."
VAN697430,2018-01-15,PNR611032,Central Nervous System/ Neuromuscular,,Pharmacy/Prescription Drugs,Botox Injection,False,Dr. Alexandria Gaines,Peter Wallace,Female,31-40,A-,I996568743,016169394388,"Scheibestr. 803
57460 Kulmbach",Education administrator,"Debra Gonzalez, 017404116476."
VIC154381,2018-01-15,PIN222532,Orthopedic/ Musculoskeletal,ACL -  Anterior Cruciate Ligament,Durable Medical Equipment,CPM Machine,False,Dr. James Barber,Marie Ross,Other,0-10,A+,Private,016468029271,"Nadia-Riehl-Straße 5
20499 Holzminden",Early years teacher,"Nancy Cunningham, 015619378101."
VOO919092,2018-01-15,PHY508853,Respiratory System,Asthma,Pharmacy/Prescription Drugs,Non-FDA Approved Use,False,Dr. Michelle Lamb,Benjamin Lucero,Female,65+,O+,Private,015435772839,"Ehlertallee 70
08838 Neustadtner Waldnaab",Recycling officer,"Erik Estes, 016192610901."
VNL840016,2018-01-15,PAU605836,Mental,Eating Disorder,Mental Health Treatment,Residential Treatment Center - Admission,False,Dr. Michelle Lamb,Travis Webb,Female,10-20,B+,Private,017572509179,"Ackermannring 498
01860 Aurich",Chief Marketing Officer,"Tammy Flowers, 017535396563."
VNR076309,2018-01-15,PWA029718,OB-Gyn/ Pregnancy,Menopause,Pharmacy/Prescription Drugs,Hormones,True,Dr. Alexandria Gaines,Anthony Hill,Female,65+,O-,D820099952,017176478627,"Gunpfallee 151
46277 Helmstedt",Geophysicist/field seismologist,"Nicholas Jones, 015944869355."
VYU053474,2018-01-15,PRH033717,Autism Spectrum,Autism-PDD-NOS,,Speech Therapy,False,Dr. Shelly Hunt,Justin Jones,Male,0-10,O+,K793840081,016698012735,"Manuela-Boucsein-Allee 4/7
11099 Wolfenbüttel","Editor, commissioning","Randy Cole, 016464229506."
VLJ941219,2018-01-15,POB246647,Endocrine/ Metabolic,Hormone Deficiency,Pharmacy/Prescription Drugs,Hormones,False,Dr. Eddie Young,Donald Morales,Male,31-40,A-,T489691335,015739034481,"Jane-Berger-Ring 344
93523 Chemnitz",Medical physicist,"Timothy Rice, 017779510108."
VCW119267,2018-01-15,PMY913912,Mental,Depression - Severe,Mental Health Treatment,Acute Psychiatric Facility Admission,False,Dr. Alexandria Gaines,Kathryn Smith,Female,21-30,B+,K711689250,016588206989,"Austermühlering 72
13852 Steinfurt",Building surveyor,"Sarah Hopkins, 017837397287."
VVG525236,2018-01-15,PJM164400,Central Nervous System/ Neuromuscular,,Pharmacy/Prescription Drugs,Botox Injection,False,Dr. Michelle Lamb,Tina Case,Female,51-64,AB+,M110084911,015361090816,"Scholzweg 561
24479 Pößneck",Chartered certified accountant,"Travis Lee, 017157017617."
VRD073243,2018-01-15,PCG342643,Endocrine/ Metabolic,Hormone Deficiency,Pharmacy/Prescription Drugs,Hormones,False,Dr. Eddie Young,Carl Simmons,Male,41-50,B-,J887327769,017561863577,"Harloffstraße 3
31335 Sonneberg",Commercial art gallery manager,"Derek Kelley, 016486156817."
VDX318436,2018-01-15,PLM079749,Pediatrics,Congenital Deformity,Durable Medical Equipment,Wheelchair,False,Dr. Jerry Daniels,Robert Robles,Female,10-20,A+,Private,015983131056,"Oestrovskyplatz 8/8
70823 Schmölln",Occupational therapist,"Christopher Green, 016353454600."
VDU791196,2018-01-16,PEE431042,Infectious,Lyme Disease,Pharmacy/Prescription Drugs,Vitamins,False,Dr. Shelly Hunt,Dawn White,Female,41-50,A-,O388720876,015135049149,"Gudering 0/7
81087 Döbeln",Chartered loss adjuster,"Kenneth Collier, 016125172952."
VTJ182926,2018-01-16,POE109737,Orthopedic/ Musculoskeletal,Fracture,Orthopedic,Fracture/Bone Repair,False,Dr. James Barber,Timothy Wilson,Male,51-64,B-,Z231401597,017418981670,"Schlosserplatz 1
59077 Wolmirstedt","Embryologist, clinical","Nancy Brown, 017704215095."
VAG701978,2018-01-16,PFZ500510,Morbid Obesity,Hypertension,General Surgery,Bariatric Other,False,Dr. Alexandria Gaines,Brandon Larson,Female,41-50,O+,X427735204,016112189047,"Emmy-Käster-Allee 4
70102 Kamenz",Forest/woodland manager,"Mrs. Krystal Thomas, 015087079038."
VOA041297,2018-01-16,PRV659130,Autism Spectrum,Autism-PDD-NOS,Autism Related Treatment,ABA-Applied Behavioral Analysis,False,Dr. Shelly Hunt,Stephanie Scott,Male,21-30,AB-,P609321078,016949237563,"Wenzel-Zobel-Gasse 52
10864 Zeulenroda",Personnel officer,"Jessica Contreras, 016375791679."
VWK127612,2018-01-16,PUY765437,Mental,Severe Emotional Disturbance,Mental Health Treatment,Residential Treatment Center - Admission,False,Dr. Eddie Young,Christopher Boyle,Male,10-20,O-,Q204072074,016938894112,"Biggenplatz 975
43323 Säckingen",Copy,"Kathleen Merritt, 017808225961."
VTW918230,2018-01-16,PZX482673,Orthopedic/ Musculoskeletal,Back Pain,Electrical/ Thermal/ Radiofreq. Interventions,Radiofrequency Ablation,False,Dr. Eddie Young,Gary Lynch,Female,51-64,A+,L242446003,016728373683,"Rahel-Klotz-Straße 2
72998 Bremen","Scientist, water quality","Angela Dominguez, 017014642175."
VJB771291,2018-01-16,PPP908895,Cancer,Bone Cancer,Pharmacy/Prescription Drugs,Non-FDA Approved Use,False,Dr. Alexandria Gaines,Angela Johnson,Male,10-20,O+,P400789633,016879045033,"Cäcilie-Baum-Straße 162
94453 Geithain","Psychologist, educational","Joseph Lewis, 015863744775."
VTF335499,2018-01-16,PGZ401290,Cancer,Prostate Cancer,Electrical/ Thermal/ Radiofreq. Interventions,Proton Beam Therapy,False,Dr. Alexandria Gaines,John Chavez,Other,0-10,O-,I153415849,016913836591,"Karzstraße 515
03321 Jessen","Production assistant, radio","Jonathan Mooney, 015445373846."
VVG255017,2018-01-17,PCX588225,Orthopedic/ Musculoskeletal,Back Pain,"Diagnostic Imaging, Screening and Testing",MRI,False,Dr. Alexandria Gaines,Tyler Campbell,Female,51-64,B+,G395505133,016815436506,"Weißstraße 63
73451 Saarbrücken",Child psychotherapist,"Debra Leonard, 016986318088."
VNF831699,2018-01-17,PCG807108,Morbid Obesity,Hypertension,General Surgery,Gastric Bypass,True,Dr. James Barber,Kristine Barber,Female,31-40,B+,X644403881,016398196330,"Artur-Döhn-Gasse 6/9
06014 Neustadt am Rübenberge",Mudlogger,"Tina Garner, 017197041228."
VPP328765,2018-01-17,PWR165982,Orthopedic/ Musculoskeletal,Deformities,Rehabilitation Services - Outpatient,Physical Therapy,False,Dr. Jerry Daniels,Kelsey Smith,Female,0-10,B+,P823365955,016203517245,"Cichoriusallee 57
32576 Heinsberg",Copy,"Julie Farley, 015569162362."
VTN864637,2018-01-17,PTY091528,Autism Spectrum,Autism-PDD-NOS,Mental Health Treatment,Behavioral Therapy,False,Dr. Jerry Daniels,Susan Taylor,Male,10-20,B-,X388056670,015465423139,"Irmi-Häring-Straße 910
21419 Bad Langensalza","Administrator, charities/voluntary organisations","Charles Smith, 016407710633."
VLG310756,2018-01-17,PCG108905,Endocrine/ Metabolic,Growth Hormone Deficiency,Pharmacy/Prescription Drugs,Hormones,False,Dr. Jerry Daniels,Jason Roth,Male,10-20,B+,N447777778,015949426135,"Cichoriusstr. 0
68130 Dachau",Contracting civil engineer,"Darren Smith, 016918779003."
VCR925246,2018-01-17,PMI525720,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Anti-virals,False,Dr. Jerry Daniels,Amber Erickson,Male,51-64,AB-,M539207210,017487031670,"Klemmstraße 06
66683 Mühlhausen",Tax inspector,"Timothy Oliver, 016158103462."
VEM000923,2018-01-17,PKQ888529,Cancer,Breast Cancer,Cancer Treatment,,False,Dr. Shelly Hunt,Kyle Moore,Female,51-64,AB-,P668168869,015245123803,"Hanni-Bonbach-Ring 75
67441 Husum",Musician,"Taylor Anderson, 015200740054."
VGN967781,2018-01-17,PVU268978,Central Nervous System/ Neuromuscular,,Pharmacy/Prescription Drugs,Botox Injection,False,Dr. Shelly Hunt,Amy Walls,Female,51-64,AB-,M725230700,016752800086,"Stahrstraße 27
64324 Calw",Industrial/product designer,"Alejandro Lopez, 015170298088."
VQJ175609,2018-01-17,PHU186276,Autism Spectrum,Autism-PDD-NOS,,Biofeedback,False,Dr. James Barber,Brian Williams,Male,0-10,AB-,E484431764,016516040868,"Brian-Haase-Ring 488
13575 Oschatz",Claims inspector/assessor,"Zachary Jackson, 015260972353."
VVX418647,2018-01-17,PPH633570,Mental,Depression - Severe,Electrical/ Thermal/ Radiofreq. Interventions,Transcranial Magnetic Stimulation,False,Dr. Shelly Hunt,Monica Rasmussen,Female,31-40,A-,N362433612,017842770137,"Keudelweg 5/0
51809 Hofgeismar",Television floor manager,"James Little, 015904708380."
VJB951063,2018-01-17,PWP635564,Mental,ADD - Attention Deficit Disorder,Mental Health Treatment,Psychotherapy,False,Dr. Shelly Hunt,Morgan Ewing,Female,51-64,AB+,T806806320,015988452025,"Imelda-Lange-Straße 2/2
49709 Werdau",International aid/development worker,"Stephen Moran, 016024692362."
VLM751723,2018-01-17,PZL114984,OB-Gyn/ Pregnancy,Female Breast Disorder,General Surgery,Breast Surgery,False,Dr. Michelle Lamb,Lacey Williams,Female,51-64,B+,Private,017643658096,"Meyerring 82
65701 Füssen","Scientist, biomedical","Cynthia Henson, 017981590207."
VBQ269545,2018-01-17,PWF060635,Orthopedic/ Musculoskeletal,Osteoporosis,Pharmacy/Prescription Drugs,Formulary versus Non-Formulary,False,Dr. Alexandria Gaines,Bruce Wilson,Female,41-50,B+,F452205127,016417154667,"Dimitrios-Caspar-Weg 61
75385 Rosenheim","Administrator, arts","James Powell, 017487052490."
VDE015115,2018-01-18,PME559440,Morbid Obesity,Abdominal Pannus,Reconstructive/Plastic Surgery,Panniculectomy,False,Dr. Shelly Hunt,Michelle Walker,Other,0-10,B+,S145626486,016957329321,"Bauerstraße 254
09902 München","Production assistant, television","Amanda Sawyer, 016837216290."
VAV337998,2018-01-18,PME634810,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Anti-virals,False,Dr. Jerry Daniels,Lisa Smith,Female,51-64,B-,B147679889,015946255447,"Ingetraut-Mende-Straße 6
22372 Ansbach",Research scientist (life sciences),"Joseph Pham, 015435625721."
VXX508901,2018-01-18,PGY151796,Orthopedic/ Musculoskeletal,ACL -  Anterior Cruciate Ligament,Durable Medical Equipment,Braces,False,Dr. Michelle Lamb,Joel Franco,Female,10-20,O-,Q237117335,016801484463,"Pergandeweg 3/3
93055 Spremberg",Tourism officer,"Teresa Schmidt, 016385502778."
VBZ734064,2018-01-18,PQI217931,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Interferon,False,Dr. Eddie Young,Robert Wolfe,Other,0-10,A+,P826137737,017079417535,"Koch IIweg 19
18128 Passau",Insurance underwriter,"Wendy Hernandez, 015846534610."
VNT362620,2018-01-18,PQU654395,Orthopedic/ Musculoskeletal,Vertebral Disc Problem,Electrical/ Thermal/ Radiofreq. Interventions,IDET,False,Dr. Jerry Daniels,Robert Horton,Other,0-10,O+,F934384436,017880040571,"Eckehard-Naser-Gasse 9/3
77200 Pfaffenhofen an der Ilm",Clinical molecular geneticist,"Amber Morton, 017983962871."
VPR472186,2018-01-18,PGE311392,Cancer,Prostate Cancer,Urology,Prostatectomy,False,Dr. Jerry Daniels,David Chambers,Male,65+,O-,C170199779,016318716670,"Heckerring 0/3
45146 Schongau",Research scientist (physical sciences),"Allison Martin, 015553671123."
VTT982534,2018-01-18,PFR967953,Orthopedic/ Musculoskeletal,Back Pain,Orthopedic,Fusion,False,Dr. James Barber,Mckenzie Miller,Male,41-50,AB-,F840214798,016766974634,"Alois-Löchel-Ring 72
09947 Wanzleben",Actor,"Daniel Nichols, 016164583743."
VXW873646,2018-01-18,PIV228259,Orthopedic/ Musculoskeletal,TMJ - Temporal Mandibular Joint,Dental/Orthodontic,TMJ Treatment,False,Dr. Jerry Daniels,Tammy Moyer,Female,21-30,B+,O185544004,015603591975,"Thiesweg 940
66452 Peine",Holiday representative,"Evelyn Rivera, 016160886895."
VAS699051,2018-01-18,PIQ937553,Genitourinary/ Kidney,Erectile Dysfunction,Pharmacy/Prescription Drugs,Treatment for Impotence,False,Dr. Jerry Daniels,Jeanette Peterson,Male,31-40,O-,U736355584,016287327400,"Zobelring 5/5
00639 Ravensburg",Physiological scientist,"Breanna Lopez, 017250538600."
VCG041734,2018-01-18,POW968465,Orthopedic/ Musculoskeletal,Fracture,Rehabilitation Services - Skilled Nursing Facility - Inpatient,Inpatient Early Discharge,True,Dr. Eddie Young,Timothy Savage,Female,65+,B-,E657132284,015420585093,"Wera-Renner-Straße 418
63438 Emmendingen","Designer, ceramics/pottery","Dennis Gonzalez, 017173009907."
VHJ275721,2018-01-18,PEM952119,Morbid Obesity,Excess Skin,Reconstructive/Plastic Surgery,Excess Skin Removal,False,Dr. Alexandria Gaines,Julie Rose,Female,41-50,O-,G522371355,016036182627,"Lehmannring 0
19312 Greifswald",Research scientist (life sciences),"Barbara Lee, 017841749655."
VRD682809,2018-01-18,PRQ759396,Autism Spectrum,Autism-PDD-NOS,,Speech Therapy,False,Dr. Shelly Hunt,Jerome Thompson,Male,0-10,AB-,W525535853,016128374519,"Hajo-Rörricht-Allee 9/0
37804 Potsdam",Meteorologist,"Michael Burke, 015140276078."
VRU758247,2018-01-18,PQZ752076,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Anti-virals,False,Dr. Michelle Lamb,Tammy Ritter,Male,51-64,A+,P862199845,015776070846,"Metzring 71
43074 Hohenmölsen","Administrator, sports","Amy Wilkinson, 015557992616."
VYS992046,2018-01-18,PPT993843,Endocrine/ Metabolic,Diabetes,Pharmacy/Prescription Drugs,Weight Control,False,Dr. Michelle Lamb,Angela Keller,Female,51-64,B+,D504605342,017730430009,"Wagnerallee 250
96604 Havelberg",Music tutor,"Sarah Harris, 015939549677."
VSV303848,2018-01-18,PGP257150,OB-Gyn/ Pregnancy,Fibroids,OB/GYN Procedures,Uterine Artery Embolization,False,Dr. Eddie Young,Shannon Porter,Other,0-10,A+,F143323745,016892407480,"Gerd-Keudel-Gasse 152
49397 Celle",Secretary/administrator,"Amanda Kline, 015675254655."
VUC095609,2018-01-18,PSK154194,,,,,True,Dr. Michelle Lamb,Zachary Newman,Male,0-10,AB+,Y802537625,015797615709,"Heinzweg 335
83719 Stuttgart",Social worker,"Christian Leblanc, 015596692437."
VWH752218,2018-01-18,PGT175826,Cardiac/Circulatory,Cardiac/Heart problem,Diagnostic/Physician Evaluation,Out-Of-Network Referral,False,Dr. James Barber,Tammy Jones,Male,51-64,A+,L281784870,015985895967,"Ivonne-Roskoth-Allee 696
99369 Dresden",Immunologist,"Amy Sanchez MD, 017790617390."
VHP455817,2018-01-18,PQA876802,Skin,Skin Ulcer,Rehabilitation Services - Skilled Nursing Facility - Inpatient,Inpatient Admission,False,Dr. Shelly Hunt,Linda Duncan,Male,65+,B-,K666917028,017524408717,"Etzlerring 5/5
74908 Lörrach","Chemist, analytical","Evan Smith, 015839603052."
VFK543009,2018-01-19,PIJ792336,Cancer,Liver Cancer,Cancer Treatment,Investigational Treatment,False,Dr. Michelle Lamb,Debbie Matthews,Female,51-64,A-,T694262806,017953748651,"Ian-Krause-Gasse 25
51095 Ingolstadt",Furniture designer,"Melissa Arnold, 015887937448."
VIE562607,2018-01-19,PFM103303,Mental,Substance Abuse/ Addiction,Mental Health Treatment,Residential Treatment Center - Admission,False,Dr. Michelle Lamb,Jeffery Perez,Male,51-64,AB+,Private,015628483902,"Ortrun-Junken-Weg 4
54929 Warendorf","Psychologist, forensic","Tina Washington, 015284619209."
VBA501035,2018-01-19,PPA000438,Digestive System/ Gastrointestinal,Irritable Bowel Syndrome,"Diagnostic Imaging, Screening and Testing",,False,Dr. Eddie Young,Angela Ward,Male,10-20,AB+,U595670962,015060051370,"Gabi-Ladeck-Weg 8/8
86425 Dinkelsbühl",Chief Marketing Officer,"Michelle Robinson, 016668814901."
VXL166200,2018-01-19,PYE986146,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Anti-virals,False,Dr. Eddie Young,Suzanne Taylor,Female,51-64,AB-,L482464866,016463579837,"Harloffallee 347
76994 Peine","Physicist, medical","Kevin Edwards, 015744379047."
VIN317780,2018-01-19,PGV844922,Central Nervous System/ Neuromuscular,Parkinson Disease,Rehabilitation Services - Skilled Nursing Facility - Inpatient,Inpatient Admission,False,Dr. Michelle Lamb,Erika Steele,Female,65+,A-,K155565443,017513228724,"Hahnplatz 3
14048 Kötzting","Surveyor, commercial/residential","Eric Woods, 017301346422."
VSZ301041,2018-01-19,PRY083457,Orthopedic/ Musculoskeletal,Back Pain,Pharmacy/Prescription Drugs,Formulary versus Non-Formulary,False,Dr. James Barber,Tyrone Patterson,Female,51-64,AB+,K969521443,015829585245,"Tamara-Lorch-Straße 0
94883 Neu-Ulm",Analytical chemist,"Linda Martinez, 016937890975."
VQN191288,2018-01-19,PWS701462,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Anti-virals,False,Dr. Michelle Lamb,Sheena Cohen,Female,65+,A+,B345549738,017634809885,"Stephan-Klemm-Allee 0/3
65961 Nauen",Personnel officer,"Connie Smith, 015931326499."
VBZ545066,2018-01-19,PNG494311,OB-Gyn/ Pregnancy,Endometriosis,Acute Medical Services - Outpatient,Physical Therapy,True,Dr. Alexandria Gaines,Tony Miller,Female,41-50,AB-,W806234202,015444886880,"Anatol-Weller-Gasse 2
33407 Burg",Broadcast journalist,"Willie Jones, 017002191103."
VIH950950,2018-01-19,PDI036502,Mental,Depression,Electrical/ Thermal/ Radiofreq. Interventions,Transcranial Magnetic Stimulation,False,Dr. Shelly Hunt,Carlos Leon,Female,51-64,O+,V866595403,016135316948,"Ayten-Hecker-Straße 9/1
92460 Ebersberg",Armed forces training and education officer,"Danielle Reed, 016312509404."
VPD327837,2018-01-19,PQE439427,Mental,Depression - Severe,Electrical/ Thermal/ Radiofreq. Interventions,Transcranial Magnetic Stimulation,True,Dr. Alexandria Gaines,Frank Walton,Female,31-40,AB-,T393954899,017849733782,"Loosweg 373
05082 Geithain",Fisheries officer,"Michelle Haas, 016976456296."
VMB489775,2018-01-19,PPZ996613,Cancer,Prostate Cancer,Cancer Treatment,Radiation Oncology,False,Dr. Shelly Hunt,Kevin Smith,Male,51-64,AB-,Z970325751,015805939242,"Striebitzallee 8/2
10914 Suhl",Environmental health practitioner,"Brandon Bailey, 016278468262."
VLM454818,2018-01-19,PZJ371670,Immunologic,Lupus,Pharmacy/Prescription Drugs,Non-FDA Approved Use,False,Dr. Alexandria Gaines,Lisa Rocha,Female,51-64,B+,H584112736,015600247361,"Frank-Kramer-Allee 4/9
70234 Kusel",IT technical support officer,"Victoria Brown, 016910355340."
VZV868871,2018-01-19,PDN984656,Orthopedic/ Musculoskeletal,,General Surgery,,False,Dr. James Barber,Guy Jones,Female,41-50,AB+,T570485170,015660435622,"Helmuth-Blümel-Ring 880
36385 Wolgast",Housing manager/officer,"Bobby Craig, 015323810340."
VCA554697,2018-01-19,PSG000413,Respiratory System,Pneumonia,Rehabilitation Services - Skilled Nursing Facility - Inpatient,Inpatient Admission,True,Dr. Eddie Young,Jaime Long,Female,65+,O+,Y413585653,017201241792,"Liane-Gröttner-Ring 3
14323 Freudenstadt","Administrator, charities/voluntary organisations","Angela Bowman, 017718348045."
VXJ858622,2018-01-19,PNS851227,Orthopedic/ Musculoskeletal,Neck Problem,Pain Management,Epidural Injection,False,Dr. Alexandria Gaines,Julie Flores,Male,51-64,AB-,O251430525,015826914461,"Faruk-Heintze-Ring 770
94742 Grafenau","Optician, dispensing","Sierra Hawkins, 015708041704."
VMM494108,2018-01-19,POG722979,Skin,Skin Lesion,Diagnostic/Physician Evaluation,Specialty Consultation Referral,False,Dr. Shelly Hunt,Steven Moore,Female,51-64,A+,A856273296,017499002238,"Dan-Girschner-Ring 688
80508 Feuchtwangen",Air traffic controller,"Shane Johnson, 016638112590."
VSJ687819,2018-01-19,PEE459034,Central Nervous System/ Neuromuscular,Paralysis,Durable Medical Equipment,Electric Wheelchair,False,Dr. Alexandria Gaines,Scott Cantrell MD,Male,41-50,O+,L976474044,015588133849,"Möchlichenstraße 98
38574 Coburg",Lawyer,"Annette Vance, 016223234876."
VYL547825,2018-01-20,PTD247283,Orthopedic/ Musculoskeletal,Vertebral Disc Problem,"Diagnostic Imaging, Screening and Testing",MRI,False,Dr. Alexandria Gaines,Rachel Kennedy,Female,31-40,A-,N662764910,016934261804,"Jacobstraße 2
98232 Dresden",Market researcher,"Stephanie Jones, 016584970527."
VCX585597,2018-01-20,PSG199749,Mental,Eating Disorder,Mental Health Treatment,Residential Treatment Center - Admission,False,Dr. Shelly Hunt,Jeanne Bush,Female,21-30,O-,Private,016342199596,"Tintzmanngasse 1
19165 Karlsruhe",Corporate investment banker,"Glenn Martinez, 017122718637."
VNN957458,2018-01-20,PRA653590,Orthopedic/ Musculoskeletal,Vertebral Disc Problem,Pain Management,,False,Dr. Michelle Lamb,Cameron Moore,Male,51-64,O-,U803527220,017834539798,"Rotraud-Kambs-Platz 1
16255 Herzberg",English as a second language teacher,"Anthony Jackson, 016385832461."
VWP879252,2018-01-20,PKK602977,Prevention/Good Health,,"Diagnostic Imaging, Screening and Testing",Mammography,False,Dr. Eddie Young,Victor Ellis,Female,51-64,O-,T198070032,016485788753,"Grit-Dippel-Platz 4/6
48533 Lichtenfels",Editorial assistant,"Eric Baker, 016033610516."
VPS589905,2018-01-20,PNR611032,Morbid Obesity,Hypertension,General Surgery,,False,Dr. Shelly Hunt,Peter Wallace,Female,31-40,A-,I996568743,016169394388,"Scheibestr. 803
57460 Kulmbach",Education administrator,"Debra Gonzalez, 017404116476."
VOZ677906,2018-01-20,PJF249466,Cancer,Colon Cancer,Cancer Treatment,Clinical Trial (Phase 1),False,Dr. Eddie Young,Michael Rivas,Female,51-64,AB-,S971666007,016382692421,"Loosstraße 472
11540 Nürtingen","Engineer, civil (contracting)","Brian Nguyen, 015515259197."
VII531993,2018-01-20,PJM140429,Cancer,Blood Cancer,Special Procedure,Stem Cell Transplant,False,Dr. Eddie Young,Wayne Martin,Female,41-50,AB+,B841019684,015114432258,"Werneckeweg 2/3
42831 Dinkelsbühl",Pensions consultant,"Daniel Bradley, 015263075538."
VCO092468,2018-01-20,PQS774047,Cancer,Prostate Cancer,Cancer Treatment,Radiation Oncology,False,Dr. Michelle Lamb,Samantha Johnson,Male,51-64,O-,Z675192775,015935728052,"Mudeweg 09
16133 Kaiserslautern",Operational researcher,"Craig Carr, 017002229868."
